patent_id,patent_type,patent_date,patent_title,year
10000202,utility,2018-06-19,Device and method for controlling running mode of hybrid electric vehicle,2018
10000203,utility,2018-06-19,EV mode shift strategy for hybrid vehicle,2018
10000204,utility,2018-06-19,Apparatus and method for learning touch point of engine clutch of hybrid electric vehicle,2018
10000205,utility,2018-06-19,Fail-safe control apparatus for hybrid vehicles,2018
10000206,utility,2018-06-19,Control apparatus for power transmission system,2018
10000207,utility,2018-06-19,Vehicle hitch detection system and method,2018
10000208,utility,2018-06-19,Vehicle control apparatus,2018
10000209,utility,2018-06-19,Vehicle steering control apparatus,2018
10000210,utility,2018-06-19,Lane recognition apparatus,2018
10000211,utility,2018-06-19,Vehicle travel control apparatus,2018
10000212,utility,2018-06-19,Vehicle and method for controlling distance between traveling vehicles,2018
10000213,utility,2018-06-19,Spare tire detection,2018
10000214,utility,2018-06-19,Vehicle controls including dynamic vehicle parameter determination,2018
10000215,utility,2018-06-19,Detection and reconstruction of pitch rate sensor fault,2018
10000216,utility,2018-06-19,Engaging and disengaging for autonomous driving,2018
10000217,utility,2018-06-19,"Notification-needed information presenting apparatus, notification-needed information presenting method, and non-transitory computer readable storage medium",2018
10000218,utility,2018-06-19,Bi-modal traffic system,2018
10000219,utility,2018-06-19,Rail vehicle with a completely retractable coupling,2018
10000220,utility,2018-06-19,Brake cylinder with integrated wear adjusting device for rail vehicles,2018
10000221,utility,2018-06-19,Pit cover,2018
10000222,utility,2018-06-19,Methods and systems of determining end of train location and clearance of trackside points of interest,2018
10000223,utility,2018-06-19,Rail track geometry measurement,2018
10000224,utility,2018-06-19,Handling device for the maintenance of agitator ball mills and method for maintaining an agitator ball mill,2018
10000225,utility,2018-06-19,Mobile child support device,2018
10000226,utility,2018-06-19,Infant stroller apparatus,2018
10000227,utility,2018-06-19,Electric power steering device and method for assembling the same,2018
10000228,utility,2018-06-19,Steering apparatus,2018
10000229,utility,2018-06-19,Steering column device,2018
10000230,utility,2018-06-19,Vehicle for line marking,2018
10000231,utility,2018-06-19,Device for applying an auxiliary force in a motor vehicle steering system,2018
10000232,utility,2018-06-19,Steering assist device,2018
10000233,utility,2018-06-19,Method of controlling an inverter during MOSFET shorts,2018
10000234,utility,2018-06-19,Steering control apparatus and method of steer-by-wire system,2018
10000235,utility,2018-06-19,Steering control device,2018
10000236,utility,2018-06-19,Vehicle control device,2018
10000237,utility,2018-06-19,Driving support device for vehicle steering systems in lane assist and collision avoidance modes,2018
10000238,utility,2018-06-19,Modular system,2018
10000239,utility,2018-06-19,Automobile vehicle body structure,2018
10000240,utility,2018-06-19,Vehicle high voltage equipment mounting for rear-end collisions,2018
10000241,utility,2018-06-19,Rocker reinforcement bracket having anti-corrosion holes,2018
10000242,utility,2018-06-19,Bottom rail assembly for trailers,2018
10000243,utility,2018-06-19,"Structural body of differing thicknesses, and method of manufacturing thereof",2018
10000244,utility,2018-06-19,Tiltable cabin,2018
10000245,utility,2018-06-19,Inflatable panel housing for an aerodynamic fairing assembly,2018
10000246,utility,2018-06-19,Vehicle with front spoiler,2018
10000247,utility,2018-06-19,Crawler track,2018
10000248,utility,2018-06-19,Rotatable robot foot with perpendicular soles,2018
10000249,utility,2018-06-19,Bicycle pedal,2018
10000250,utility,2018-06-19,Leaning vehicle with wheel speed sensor,2018
10000251,utility,2018-06-19,Motorcycle throttle lock cruise control,2018
10000252,utility,2018-06-19,Swingarm support structure,2018
10000253,utility,2018-06-19,Bicycle crank assembly,2018
10000254,utility,2018-06-19,Bicycle pedal,2018
10000255,utility,2018-06-19,Bicycle drive unit and bicycle equipped with the drive unit,2018
10000256,utility,2018-06-19,Bicycle sprocket,2018
10000257,utility,2018-06-19,Watercraft,2018
10000258,utility,2018-06-19,Vessel with selectively deployable hull members,2018
10000259,utility,2018-06-19,Suction anchor,2018
10000260,utility,2018-06-19,Systems and methods for pressure tolerant energy systems,2018
10000261,utility,2018-06-19,"System, method, and apparatus for stabilizing a boat",2018
10000262,utility,2018-06-19,"Data-processing device, program, recording medium and data-processing method for generation of data that indicates navigation performance of ship",2018
10000263,utility,2018-06-19,Underwater system and method,2018
10000264,utility,2018-06-19,Underwater watercraft,2018
10000265,utility,2018-06-19,Controlling buoyancy of an underwater vehicle using a dual-internal-reservoir configuration to enhance efficiency of inflating and deflating an external chamber,2018
10000266,utility,2018-06-19,Aquatic jet propulsion device,2018
10000267,utility,2018-06-19,Methods for trimming trimmable marine devices with respect to a marine vessel,2018
10000268,utility,2018-06-19,Systems and methods for controlling a marine vessel having a joystick with adjustable display,2018
10000269,utility,2018-06-19,Column based electric assist marine power steering,2018
10000270,utility,2018-06-19,"Moving body control device, moving body control method, and moving body control program",2018
10000271,utility,2018-06-19,Door construction with gap sealing device and method for sealing a gap between a door and a door frame,2018
10000272,utility,2018-06-19,Thermal acoustic insulation blankets,2018
10000273,utility,2018-06-19,Passive load alleviation for a fiber reinforced wing box of an aircraft with a stiffened shell structure,2018
10000274,utility,2018-06-19,Mitigation of surface discontinuities between flight control surfaces and an airframe of an aircraft,2018
10000275,utility,2018-06-19,Aircraft hybrid flight control system,2018
10000276,utility,2018-06-19,"Pushing device, moving mechanism and aircraft",2018
10000277,utility,2018-06-19,Perforated surface for suction-type laminar flow control,2018
10000278,utility,2018-06-19,Landing gear for an aircraft comprising an obstacle detector,2018
10000279,utility,2018-06-19,Retractable landing gear,2018
10000280,utility,2018-06-19,Device for mounting an aircraft tail wheel,2018
10000281,utility,2018-06-19,"Control method for controlling a buoyancy system for an aircraft, a buoyancy system, and an aircraft",2018
10000282,utility,2018-06-19,Aircraft landing gear assembly,2018
10000283,utility,2018-06-19,Negative spring compensation for elastomeric bearing torque,2018
10000284,utility,2018-06-19,Collaborative unmanned aerial vehicle for an inventory system,2018
10000285,utility,2018-06-19,Methods and systems for detecting and resolving failure events when raising and lowering a payload,2018
10000286,utility,2018-06-19,Pivot bin assembly with lift assist,2018
10000287,utility,2018-06-19,Drop down overhead galley stowage system,2018
10000288,utility,2018-06-19,Laterally and recline adjustable aircraft passenger seat,2018
10000289,utility,2018-06-19,Temperature control gasper apparatus,2018
10000290,utility,2018-06-19,Electro-expulsive deicing apparatuses comprising at least one standoff,2018
10000291,utility,2018-06-19,Aircraft evacuation slide,2018
10000292,utility,2018-06-19,Multipurpose lane divider for evacuation slide,2018
10000293,utility,2018-06-19,Gas-electric propulsion system for an aircraft,2018
10000294,utility,2018-06-19,Aircraft fuel tank flammability reduction method and system,2018
10000295,utility,2018-06-19,Aircraft fuel vent pipe,2018
10000296,utility,2018-06-19,Electrical control system,2018
10000297,utility,2018-06-19,Aircraft display systems and methods for generating horizontal situation indicator graphics with enhanced symbology,2018
10000298,utility,2018-06-19,Metrology system for positioning assemblies,2018
10000299,utility,2018-06-19,Self-repair structures and methods for making the same,2018
10000300,utility,2018-06-19,"Device for holding and aligning a useful component, in particular a space travel component",2018
10000301,utility,2018-06-19,Method for dispensing moist smokeless tobacco,2018
10000302,utility,2018-06-19,Method of forming a stack of cosmetic pads,2018
10000303,utility,2018-06-19,Container comprising integral film lid,2018
10000304,utility,2018-06-19,Method for sanitizing and filling containers,2018
10000305,utility,2018-06-19,Antioxidant-stabilized joint implants,2018
10000306,utility,2018-06-19,Variable volume containers useful in pack-off operations,2018
10000307,utility,2018-06-19,Transporter device and method for conveying objects to be labeled or stamped,2018
10000308,utility,2018-06-19,Automated labeling method and apparatus,2018
10000309,utility,2018-06-19,Labelling machine and method,2018
10000310,utility,2018-06-19,Inner seal with an overlapping partial tab layer,2018
10000311,utility,2018-06-19,Method and apparatus for constructing pallets,2018
10000312,utility,2018-06-19,Combination food storage and serving device,2018
10000313,utility,2018-06-19,Holder with bottle,2018
10000314,utility,2018-06-19,Container and method for making the same,2018
10000315,utility,2018-06-19,Collapsible cooler liner,2018
10000316,utility,2018-06-19,One-way valve for a compressible container and container with such a valve,2018
10000317,utility,2018-06-19,"Pail, closing ring, and method for assembling a pail",2018
10000318,utility,2018-06-19,Safety device against excess temperature,2018
10000319,utility,2018-06-19,Sealable drinking container with air-extracting mechanism for oxygenation suppression,2018
10000320,utility,2018-06-19,Wine cork with built-in gas activated mini-corkscrew,2018
10000321,utility,2018-06-19,"Tray system for display, storage and transportation of bottles",2018
10000322,utility,2018-06-19,Hang tag for displaying an object,2018
10000323,utility,2018-06-19,Packages and methods for manufacturing packages,2018
10000324,utility,2018-06-19,Packing bag and manufacturing method for the same,2018
10000325,utility,2018-06-19,Flexible stand-up pouch container for flowable products,2018
10000326,utility,2018-06-19,Plastic beer keg,2018
10000327,utility,2018-06-19,Tip indicator and packaging box equipped with same,2018
10000328,utility,2018-06-19,Vehicle fuel tank for improved crashworthiness,2018
10000329,utility,2018-06-19,Thermally insulated shipping container,2018
10000330,utility,2018-06-19,Modular spray cap,2018
10000331,utility,2018-06-19,"Bottle change apparatus, substrate treatment apparatus, bottle change method, bottle cap, bottle cap change apparatus and bottle cap change method",2018
10000332,utility,2018-06-19,Display and distribution package for eggs,2018
10000333,utility,2018-06-19,Shipping strap assembly for a vibratory screening machine,2018
10000334,utility,2018-06-19,Liquid holding container,2018
10000335,utility,2018-06-19,Capsule for preparing beverages,2018
10000336,utility,2018-06-19,Automated rack unloading apparatus,2018
10000337,utility,2018-06-19,Apparatus for retrieving units from a storage system,2018
10000338,utility,2018-06-19,Automated system for transporting payloads,2018
10000339,utility,2018-06-19,Gravity-fed housing for gasification system,2018
10000340,utility,2018-06-19,Vented bucket,2018
10000341,utility,2018-06-19,Conveyor system and method,2018
10000342,utility,2018-06-19,Conveying device for conveying goods and method for conveying goods,2018
10000343,utility,2018-06-19,"Vibratory conveying apparatus comprising trough attachment/detachment mechanism, and combination weighing apparatus",2018
10000344,utility,2018-06-19,Product flow regulator,2018
10000345,utility,2018-06-19,Conveyor device with flow limiting device,2018
10000346,utility,2018-06-19,Transporting element for a distributing conveyor of a sorter of a sorting installation,2018
10000347,utility,2018-06-19,Adjustable multi-hole orifice in a pneumatic conveying apparatus,2018
10000348,utility,2018-06-19,Assembly comprising a pallet lift and a palletizing device,2018
10000349,utility,2018-06-19,Drive transmission device and sheet conveying device and image forming apparatus provided with same,2018
10000350,utility,2018-06-19,Conveyor and recording apparatus including same,2018
10000351,utility,2018-06-19,Splicer device,2018
10000352,utility,2018-06-19,Electronic component supply apparatus and electronic component supply method,2018
10000353,utility,2018-06-19,Air vortex assisted sheet flipping device,2018
10000354,utility,2018-06-19,Conveyance apparatus and image recording apparatus,2018
10000355,utility,2018-06-19,Sheet processing device and image forming device provided with the sheet processing device,2018
10000356,utility,2018-06-19,Apparatus and method for a free-spinning wire dispensing reel,2018
10000357,utility,2018-06-19,Passive tensioning system for composite material payout control,2018
10000358,utility,2018-06-19,Rapid deployment frac water transfer system,2018
10000359,utility,2018-06-19,Collapsible cord spool,2018
10000360,utility,2018-06-19,Resizable cord holder for storing and unwinding cord bundles,2018
10000361,utility,2018-06-19,Hose winding device,2018
10000362,utility,2018-06-19,Elevator control device,2018
10000363,utility,2018-06-19,Pipe flange lifting apparatus,2018
10000364,utility,2018-06-19,Vehicle with winch,2018
10000365,utility,2018-06-19,Pulley for high-efficiency winch,2018
10000366,utility,2018-06-19,Brake torque control,2018
10000367,utility,2018-06-19,Method for operating a lift system,2018
10000368,utility,2018-06-19,Hoist system for retrofitting small scissor lift to access enclosed areas in building structure,2018
10000369,utility,2018-06-19,Beverage bottle closing machine being configured and disposed to close tops of filled beverage bottles with screw-type and other caps,2018
10000370,utility,2018-06-19,Container-less custom beverage vending invention,2018
10000371,utility,2018-06-19,Connector and socket,2018
10000372,utility,2018-06-19,Portable overflow prevention dispensing container,2018
10000373,utility,2018-06-19,Nano-electromechanical system (NEMS) device structure and method for forming the same,2018
10000374,utility,2018-06-19,MEMS component,2018
10000375,utility,2018-06-19,Structures and process for preventing a projection of the laser resealing structure beyond the wafer surface,2018
10000376,utility,2018-06-19,Method for producing a micro-electromechanical component and a micro-electromechanical component,2018
10000377,utility,2018-06-19,Nanostructured metal amides and nitrides for hydrogen storage,2018
10000378,utility,2018-06-19,Carbon monoxide shift reaction apparatus and carbon monoxide shift conversion method,2018
10000379,utility,2018-06-19,Process for the preparation of syngas,2018
10000380,utility,2018-06-19,Method for the manufacture of polymeric sulfur,2018
10000381,utility,2018-06-19,Systems and methods for growing a non-phase separated group-III nitride semiconductor alloy,2018
10000382,utility,2018-06-19,Method for carbon materials surface modification by the fluorocarbons and derivatives,2018
10000383,utility,2018-06-19,CO2 recovery apparatus and CO2 recovery method,2018
10000384,utility,2018-06-19,Method of laser direct synthesis of graphene,2018
10000385,utility,2018-06-19,Process of converting textile or plastic solid waste into activated carbon,2018
10000386,utility,2018-06-19,Method for forming of siliceous film and siliceous film formed using same,2018
10000387,utility,2018-06-19,Post-treatment of a zeolitic material,2018
10000388,utility,2018-06-19,Production of PCC,2018
10000389,utility,2018-06-19,System and method for controlling frothing during atmospheric leaching of metal sulphides using silicates,2018
10000390,utility,2018-06-19,Controlled microwave assisted synthesis of functionalized silica nanoparticles,2018
10000391,utility,2018-06-19,"Oil-water separation structure, method of preparing the same, oil-water separator, and oil-water separation method using oil-water separator",2018
10000392,utility,2018-06-19,Liquid treatment apparatus,2018
10000393,utility,2018-06-19,Enhancement of dewatering using soy flour or soy protein,2018
10000394,utility,2018-06-19,Compositions for removing hydrocarbons and halogenated hydrocarbons from contaminated environments,2018
10000395,utility,2018-06-19,High-magnesium concentrated liquid and high-magnesium potable-water mixing system,2018
10000396,utility,2018-06-19,Dissolution chamber system,2018
10000397,utility,2018-06-19,Multiple attached growth reactor system,2018
10000398,utility,2018-06-19,In-situ purification island structure and the construction method thereof,2018
10000399,utility,2018-06-19,Denitrification of saline industrial waste water,2018
10000400,utility,2018-06-19,Laundry wash water recycle system,2018
